Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,6416,6281,152223,48119,23.73,572
2,China,Asiatic Region,4470,4453,69599,39524,15.57,324
3,Japan,Asiatic Region,1957,1930,24743,6116,12.64,187
4,United Kingdom,Western Europe,1726,1669,49496,9878,28.68,309
5,Germany,Western Europe,1351,1319,27235,5941,20.16,247
6,France,Western Europe,1144,1127,23028,5259,20.13,219
7,Spain,Western Europe,1019,1000,18635,4838,18.29,203
8,Canada,Northern America,1003,978,26594,3578,26.51,245
9,Italy,Western Europe,910,873,19440,4546,21.36,189
10,Australia,Pacific Region,847,821,19230,2606,22.7,206
11,Taiwan,Asiatic Region,832,826,22350,4405,26.86,190
12,South Korea,Asiatic Region,684,682,11745,1715,17.17,153
13,India,Asiatic Region,667,663,10679,2917,16.01,167
14,Netherlands,Western Europe,450,434,10155,1716,22.57,178
15,Hong Kong,Asiatic Region,391,379,14713,1150,37.63,193
16,Brazil,Latin America,339,331,4260,1051,12.57,116
17,Singapore,Asiatic Region,335,328,6942,753,20.72,190
18,Greece,Western Europe,323,315,8320,921,25.76,120
19,Iran,Middle East,270,270,5910,2227,21.89,121
20,Belgium,Western Europe,260,248,8485,1058,32.63,143
21,Poland,Eastern Europe,251,245,6965,1666,27.75,110
22,Switzerland,Western Europe,249,249,8264,667,33.19,176
23,Turkey,Middle East,242,238,8235,1136,34.03,156
24,Austria,Western Europe,230,214,3702,583,16.1,102
25,Israel,Middle East,229,225,10166,930,44.39,168
26,Czech Republic,Eastern Europe,215,208,2061,607,9.59,89
27,Portugal,Western Europe,211,204,2965,524,14.05,105
28,Malaysia,Asiatic Region,205,204,1762,343,8.6,105
29,Finland,Western Europe,196,195,5535,610,28.24,130
30,Sweden,Western Europe,195,193,3352,509,17.19,104
31,Mexico,Latin America,177,175,2449,663,13.84,97
32,Romania,Eastern Europe,169,168,1132,230,6.7,64
33,Ireland,Western Europe,165,160,2017,218,12.22,78
34,Hungary,Eastern Europe,158,157,1892,258,11.97,69
35,New Zealand,Pacific Region,119,117,2797,263,23.5,87
36,Croatia,Eastern Europe,114,114,383,82,3.36,44
37,Bulgaria,Eastern Europe,108,108,326,41,3.02,35
38,Denmark,Western Europe,103,100,986,119,9.57,82
39,Norway,Western Europe,91,86,1938,178,21.3,72
40,South Africa,Africa,82,81,1128,158,13.76,62
41,Russian Federation,Eastern Europe,80,79,818,163,10.23,62
42,Thailand,Asiatic Region,70,69,1204,98,17.2,54
43,Egypt,Africa/Middle East,69,67,576,99,8.35,83
44,Slovenia,Eastern Europe,69,69,1201,183,17.41,82
45,Ukraine,Eastern Europe,57,56,208,108,3.65,30
46,Slovakia,Eastern Europe,57,54,526,175,9.23,57
47,Argentina,Latin America,55,55,437,92,7.95,47
48,Serbia,Eastern Europe,52,52,271,69,5.21,56
49,Algeria,Africa,42,42,645,69,15.36,55
50,Pakistan,Asiatic Region,40,40,291,36,7.28,72
