Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,7629,7568,96764,59638,12.68,324
2,United States,Northern America,7289,7077,122818,42116,16.85,572
3,Japan,Asiatic Region,2722,2669,15169,4884,5.57,187
4,India,Asiatic Region,2164,2142,19797,7540,9.15,167
5,United Kingdom,Western Europe,2145,2028,46149,8265,21.51,309
6,Germany,Western Europe,2062,1987,34870,7780,16.91,247
7,Spain,Western Europe,1650,1597,31555,7216,19.12,203
8,France,Western Europe,1590,1544,25012,5331,15.73,219
9,Taiwan,Asiatic Region,1333,1304,20048,2845,15.04,190
10,South Korea,Asiatic Region,1332,1317,15687,2318,11.78,153
11,Italy,Western Europe,1298,1232,20554,5583,15.84,189
12,Australia,Pacific Region,1269,1238,21814,3644,17.19,206
13,Canada,Northern America,1171,1132,28640,3656,24.46,245
14,Brazil,Latin America,700,695,6921,1792,9.89,116
15,Iran,Middle East,661,657,10408,2442,15.75,121
16,Netherlands,Western Europe,617,592,11123,1746,18.03,178
17,Poland,Eastern Europe,530,511,7606,2248,14.35,110
18,Hong Kong,Asiatic Region,519,508,13757,1262,26.51,193
19,Turkey,Middle East,512,505,12100,1868,23.63,156
20,Malaysia,Asiatic Region,510,508,7232,1277,14.18,105
21,Singapore,Asiatic Region,496,477,11713,1384,23.61,190
22,Portugal,Western Europe,436,420,5964,1041,13.68,105
23,Switzerland,Western Europe,427,419,17367,1235,40.67,176
24,Greece,Western Europe,427,413,5667,969,13.27,120
25,Romania,Eastern Europe,419,405,2754,515,6.57,64
26,Mexico,Latin America,368,361,3598,840,9.78,97
27,Belgium,Western Europe,363,356,7693,1091,21.19,143
28,Czech Republic,Eastern Europe,356,349,5429,877,15.25,89
29,Austria,Western Europe,338,326,4582,951,13.56,102
30,Israel,Middle East,305,298,7572,876,24.83,168
31,Sweden,Western Europe,290,280,3520,576,12.14,104
32,Hungary,Eastern Europe,230,227,1631,574,7.09,69
33,Finland,Western Europe,226,222,3682,546,16.29,130
34,New Zealand,Pacific Region,207,201,2025,375,9.78,87
35,Denmark,Western Europe,196,184,3312,405,16.9,82
36,Saudi Arabia,Middle East,185,184,2905,348,15.7,105
37,Ireland,Western Europe,184,179,2048,227,11.13,78
38,Thailand,Asiatic Region,178,177,2062,205,11.58,54
39,South Africa,Africa,172,169,1038,208,6.03,62
40,Russian Federation,Eastern Europe,168,166,1850,528,11.01,62
41,United Arab Emirates,Middle East,164,163,1160,136,7.07,51
42,Serbia,Eastern Europe,160,159,1917,534,11.98,56
43,Slovakia,Eastern Europe,159,155,1390,454,8.74,57
44,Azerbaijan,Eastern Europe,153,153,274,69,1.79,27
