Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,7963,7897,124589,82263,15.65,324
2,United States,Northern America,6821,6508,118290,39347,17.34,572
3,United Kingdom,Western Europe,2750,2622,44524,8827,16.19,309
4,Japan,Asiatic Region,2600,2540,15065,4525,5.79,187
5,Germany,Western Europe,2419,2308,28734,7333,11.88,247
6,India,Asiatic Region,1908,1887,20669,7427,10.83,167
7,Spain,Western Europe,1847,1777,27310,5943,14.79,203
8,France,Western Europe,1814,1724,20799,4589,11.47,219
9,Italy,Western Europe,1626,1528,21207,5769,13.04,189
10,Australia,Pacific Region,1407,1360,24535,4017,17.44,206
11,Canada,Northern America,1318,1270,39379,4169,29.88,245
12,South Korea,Asiatic Region,1313,1303,12730,2093,9.7,153
13,Taiwan,Asiatic Region,1114,1102,12366,1934,11.1,190
14,Brazil,Latin America,1021,1002,10486,2484,10.27,116
15,Iran,Middle East,856,854,12304,3219,14.37,121
16,Poland,Eastern Europe,748,722,8677,3215,11.6,110
17,Malaysia,Asiatic Region,736,732,9287,1664,12.62,105
18,Netherlands,Western Europe,701,673,8781,1428,12.53,178
19,Portugal,Western Europe,681,655,6114,1190,8.98,105
20,Singapore,Asiatic Region,645,631,14410,1687,22.34,190
21,Czech Republic,Eastern Europe,579,569,3934,1246,6.79,89
22,Hong Kong,Asiatic Region,545,524,13758,1220,25.24,193
23,Greece,Western Europe,523,516,5434,871,10.39,120
24,Mexico,Latin America,496,481,5320,1118,10.73,97
25,Switzerland,Western Europe,477,451,10438,1209,21.88,176
26,Turkey,Middle East,455,450,8132,1377,17.87,156
27,Sweden,Western Europe,449,420,5843,867,13.01,104
28,Austria,Western Europe,434,412,5469,987,12.6,102
29,Belgium,Western Europe,418,400,6421,883,15.36,143
30,Romania,Eastern Europe,392,382,3103,554,7.92,64
31,Finland,Western Europe,363,348,4376,807,12.06,130
32,Russian Federation,Eastern Europe,358,350,1389,662,3.88,62
33,Saudi Arabia,Middle East,304,303,6710,1035,22.07,105
34,Israel,Middle East,300,296,4883,791,16.28,168
35,Denmark,Western Europe,297,284,2895,506,9.75,82
36,Hungary,Eastern Europe,292,288,1508,538,5.16,69
37,Ireland,Western Europe,231,216,2434,316,10.54,78
38,New Zealand,Pacific Region,230,226,2450,473,10.65,87
39,Pakistan,Asiatic Region,215,215,2767,800,12.87,72
40,Colombia,Latin America,214,212,994,140,4.64,45
41,Egypt,Africa/Middle East,208,207,2294,310,11.03,83
42,Norway,Western Europe,198,195,1943,280,9.81,72
43,Slovakia,Eastern Europe,184,183,1180,416,6.41,57
44,Tunisia,Africa,171,171,1365,475,7.98,49
45,South Africa,Africa,161,153,916,277,5.69,62
46,Thailand,Asiatic Region,148,147,884,149,5.97,54
47,Serbia,Eastern Europe,146,145,1580,329,10.82,56
48,Indonesia,Asiatic Region,145,144,834,260,5.75,40
49,Viet Nam,Asiatic Region,143,141,1294,400,9.05,56
50,Algeria,Africa,141,141,1021,201,7.24,55
51,Slovenia,Eastern Europe,138,137,2701,299,19.57,82
52,Morocco,Africa,135,134,1016,213,7.53,36
53,Chile,Latin America,131,127,2308,215,17.62,64
54,Ukraine,Eastern Europe,113,113,330,231,2.92,30
55,Argentina,Latin America,111,106,1138,176,10.25,47
56,United Arab Emirates,Middle East,83,83,2110,198,25.42,51
