Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,2066,2058,135819,37545,65.74,572
2,Japan,Asiatic Region,504,503,12335,2593,24.47,187
3,United Kingdom,Western Europe,468,468,17831,3471,38.1,309
4,Germany,Western Europe,324,323,13720,1981,42.35,247
5,France,Western Europe,319,319,10527,2325,33,219
6,Canada,Northern America,276,275,12358,1319,44.78,245
7,Italy,Western Europe,239,238,7738,1437,32.38,189
8,Australia,Pacific Region,215,214,7930,700,36.88,206
9,India,Asiatic Region,199,199,3160,603,15.88,167
10,Spain,Western Europe,187,187,9053,1331,48.41,203
11,Taiwan,Asiatic Region,185,185,3968,754,21.45,190
12,South Korea,Asiatic Region,178,178,3521,461,19.78,153
13,China,Asiatic Region,148,147,4335,1262,29.29,324
14,Hong Kong,Asiatic Region,102,102,3040,407,29.8,193
15,Israel,Middle East,90,90,13291,540,147.68,168
16,Netherlands,Western Europe,88,87,2833,507,32.19,178
17,Singapore,Asiatic Region,83,83,5523,232,66.54,190
18,Belgium,Western Europe,67,67,2549,202,38.04,143
19,Greece,Western Europe,59,59,2068,225,35.05,120
20,Switzerland,Western Europe,55,55,2244,212,40.8,176
21,Czech Republic,Eastern Europe,50,50,882,151,17.64,89
22,Sweden,Western Europe,49,49,1589,154,32.43,104
23,Russian Federation,Eastern Europe,46,46,798,53,17.35,62
24,Austria,Western Europe,40,40,2021,150,50.53,102
25,Finland,Western Europe,32,32,1120,120,35,130
26,Brazil,Latin America,31,31,377,66,12.16,116
27,Slovenia,Eastern Europe,30,30,851,108,28.37,82
28,New Zealand,Pacific Region,29,29,405,43,13.97,87
29,Turkey,Middle East,27,27,918,65,34,156
30,Poland,Eastern Europe,27,27,633,111,23.44,110
31,Hungary,Eastern Europe,25,25,841,111,33.64,69
32,Denmark,Western Europe,25,25,583,40,23.32,82
33,Portugal,Western Europe,23,23,264,51,11.48,105
34,Belarus,Eastern Europe,21,21,14,12,0.67,20
35,Egypt,Africa/Middle East,21,21,592,22,28.19,83
36,Latvia,Eastern Europe,20,20,5,3,0.25,17
37,Mexico,Latin America,20,20,392,65,19.6,97
38,Slovakia,Eastern Europe,18,18,375,66,20.83,57
39,Bulgaria,Eastern Europe,13,13,351,22,27,35
40,Iran,Middle East,12,12,258,36,21.5,121
41,Saudi Arabia,Middle East,10,10,133,14,13.3,105
42,Romania,Eastern Europe,9,9,118,13,13.11,64
43,Norway,Western Europe,7,7,491,6,70.14,72
44,South Africa,Africa,6,6,111,5,18.5,62
45,Chile,Latin America,6,6,37,0,6.17,64
46,Cyprus,Western Europe,6,6,50,5,8.33,37
47,Lebanon,Middle East,6,6,480,0,80,36
48,Thailand,Asiatic Region,6,6,499,31,83.17,54
49,Ukraine,Eastern Europe,6,6,106,43,17.67,30
50,Serbia,Eastern Europe,5,5,15,8,3,56
51,Ireland,Western Europe,5,5,46,20,9.2,78
52,Kuwait,Middle East,5,5,40,11,8,35
53,Argentina,Latin America,5,5,100,13,20,47
54,Tunisia,Africa,5,5,30,9,6,49
55,Viet Nam,Asiatic Region,4,4,36,11,9,56
56,Malaysia,Asiatic Region,4,4,54,4,13.5,105
57,United Arab Emirates,Middle East,3,3,53,0,17.67,51
58,Bangladesh,Asiatic Region,3,3,9,1,3,39
59,Morocco,Africa,3,3,22,3,7.33,36
60,Croatia,Eastern Europe,3,3,22,8,7.33,44
61,Venezuela,Latin America,2,2,132,12,66,30
62,Algeria,Africa,2,2,338,5,169,55
63,Puerto Rico,Latin America,2,2,19,0,9.5,12
64,Oman,Middle East,2,2,164,0,82,27
65,Estonia,Eastern Europe,2,2,19,4,9.5,26
66,Lithuania,Eastern Europe,2,2,81,11,40.5,40
67,Macedonia,Eastern Europe,1,1,3,0,3,19
68,Nigeria,Africa,1,1,10,3,10,24
69,Sri Lanka,Asiatic Region,1,1,59,0,59,20
70,Kenya,Africa,1,1,50,1,50,11
71,Pakistan,Asiatic Region,1,1,46,0,46,72
72,Jordan,Middle East,1,1,3,0,3,56
73,Iceland,Western Europe,1,1,129,7,129,35
74,Indonesia,Asiatic Region,1,1,8,7,8,40
75,Georgia,Eastern Europe,1,1,12,2,12,16
76,Dominica,Latin America,1,1,14,4,14,2
77,Bahrain,Middle East,1,1,0,0,0,16
78,Trinidad and Tobago,Latin America,1,1,0,0,0,11
79,Uzbekistan,Asiatic Region,1,1,3,0,3,9
80,Malta,Western Europe,1,1,0,0,0,26
