Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,8987,8902,111208,65321,12.37,324
2,United States,Northern America,7677,7468,195967,63716,25.53,572
3,Japan,Asiatic Region,2619,2546,46040,6678,17.58,187
4,United Kingdom,Western Europe,2111,1989,45596,8669,21.6,309
5,Germany,Western Europe,1938,1820,64196,11034,33.12,247
6,India,Asiatic Region,1650,1634,18170,6017,11.01,167
7,Taiwan,Asiatic Region,1540,1516,51334,4923,33.33,190
8,Spain,Western Europe,1520,1474,27487,6045,18.08,203
9,France,Western Europe,1466,1410,58871,7307,40.16,219
10,South Korea,Asiatic Region,1435,1420,14953,2361,10.42,153
11,Italy,Western Europe,1308,1248,19270,4910,14.73,189
12,Canada,Northern America,1159,1121,28184,3577,24.32,245
13,Australia,Pacific Region,1019,993,22869,3612,22.44,206
14,Iran,Middle East,678,677,12858,3283,18.96,121
15,Brazil,Latin America,654,633,6536,1528,9.99,116
16,Netherlands,Western Europe,651,616,10704,1739,16.44,178
17,Poland,Eastern Europe,488,474,5005,1865,10.26,110
18,Hong Kong,Asiatic Region,485,475,21560,1403,44.45,193
19,Turkey,Middle East,479,475,17414,2186,36.35,156
20,Malaysia,Asiatic Region,468,465,5556,1284,11.87,105
21,Singapore,Asiatic Region,463,446,14955,1374,32.3,190
22,Czech Republic,Eastern Europe,409,402,4086,1230,9.99,89
23,Romania,Eastern Europe,400,397,2302,533,5.76,64
24,Belgium,Western Europe,381,369,8884,1321,23.32,143
25,Mexico,Latin America,358,354,2620,672,7.32,97
26,Austria,Western Europe,357,335,4028,966,11.28,102
27,Greece,Western Europe,348,333,5100,666,14.66,120
28,Switzerland,Western Europe,328,311,16538,1078,50.42,176
29,Portugal,Western Europe,319,301,4433,987,13.9,105
30,Sweden,Western Europe,273,258,3583,471,13.12,104
31,Israel,Middle East,261,251,10013,811,38.36,168
32,Finland,Western Europe,260,253,3479,530,13.38,130
33,Hungary,Eastern Europe,255,253,1420,361,5.57,69
34,Denmark,Western Europe,180,169,2879,357,15.99,82
35,Ireland,Western Europe,169,162,1683,230,9.96,78
36,New Zealand,Pacific Region,166,159,4100,281,24.7,87
37,Thailand,Asiatic Region,164,162,1062,182,6.48,54
38,Slovakia,Eastern Europe,158,157,1279,357,8.09,57
39,Norway,Western Europe,157,149,2170,189,13.82,72
40,Saudi Arabia,Middle East,150,150,2047,270,13.65,105
41,Serbia,Eastern Europe,128,128,1260,211,9.84,56
42,South Africa,Africa,122,106,866,164,7.1,62
