Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,5380,5257,145100,45572,26.97,572
2,China,Asiatic Region,2478,2466,34000,19328,13.72,324
3,United Kingdom,Western Europe,1791,1727,46319,8931,25.86,309
4,Japan,Asiatic Region,1588,1562,17923,4752,11.29,187
5,Germany,Western Europe,1103,1065,23130,4545,20.97,247
6,France,Western Europe,1041,1018,19791,4596,19.01,219
7,Canada,Northern America,935,910,24067,3601,25.74,245
8,Italy,Western Europe,858,826,14960,3482,17.44,189
9,Spain,Western Europe,777,759,15792,3604,20.32,203
10,Australia,Pacific Region,713,694,11159,1852,15.65,206
11,South Korea,Asiatic Region,569,566,8758,1175,15.39,153
12,Netherlands,Western Europe,494,483,11983,1459,24.26,178
13,Taiwan,Asiatic Region,485,485,13677,2923,28.2,190
14,India,Asiatic Region,328,323,5683,1504,17.33,167
15,Brazil,Latin America,314,311,4242,1015,13.51,116
16,Hong Kong,Asiatic Region,300,292,11421,1141,38.07,193
17,Finland,Western Europe,261,260,11585,831,44.39,130
18,Sweden,Western Europe,260,257,3794,569,14.59,104
19,Israel,Middle East,249,245,7202,766,28.92,168
20,Singapore,Asiatic Region,247,244,18914,1367,76.57,190
21,Greece,Western Europe,242,236,6122,705,25.3,120
22,Poland,Eastern Europe,237,235,2637,1016,11.13,110
23,Belgium,Western Europe,232,228,9398,604,40.51,143
24,Switzerland,Western Europe,221,214,9433,744,42.68,176
25,Czech Republic,Eastern Europe,211,204,2862,1071,13.56,89
26,Romania,Eastern Europe,198,198,839,154,4.24,64
27,Austria,Western Europe,186,176,3283,416,17.65,102
28,Iran,Middle East,178,177,2313,662,12.99,121
29,Portugal,Western Europe,177,167,3009,467,17,105
30,Turkey,Middle East,167,167,4681,864,28.03,156
31,Ireland,Western Europe,156,151,2407,244,15.43,78
32,Mexico,Latin America,154,153,2344,329,15.22,97
33,Malaysia,Asiatic Region,122,122,1077,166,8.83,105
34,Hungary,Eastern Europe,119,116,899,148,7.55,69
35,Denmark,Western Europe,111,105,1645,218,14.82,82
36,New Zealand,Pacific Region,103,100,1713,181,16.63,87
37,Serbia,Eastern Europe,85,85,515,95,6.06,56
38,Russian Federation,Eastern Europe,85,84,508,122,5.98,62
39,Slovenia,Eastern Europe,83,82,9019,418,108.66,82
40,Norway,Western Europe,82,81,928,136,11.32,72
41,Thailand,Asiatic Region,69,69,829,84,12.01,54
