Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,32241,31964,79267,53427,2.46,324
2,United States,Northern America,14407,13918,43033,14416,2.99,572
3,India,Asiatic Region,12934,12623,26154,11419,2.02,167
4,United Kingdom,Western Europe,4610,4384,17716,3884,3.84,309
5,Japan,Asiatic Region,4349,4216,6794,1988,1.56,187
6,Germany,Western Europe,4113,3965,9692,3473,2.36,247
7,Russian Federation,Eastern Europe,3191,3155,2719,1613,0.85,62
8,Italy,Western Europe,2976,2780,10108,3095,3.4,189
9,Indonesia,Asiatic Region,2710,2685,2354,1284,0.87,40
10,Australia,Pacific Region,2634,2519,13310,2202,5.05,206
11,Canada,Northern America,2455,2366,8736,1584,3.56,245
12,France,Western Europe,2441,2314,5954,1437,2.44,219
13,South Korea,Asiatic Region,2096,2048,5735,1217,2.74,153
14,Spain,Western Europe,2092,1960,6766,1605,3.23,203
15,Taiwan,Asiatic Region,1903,1857,3451,706,1.81,190
16,Brazil,Latin America,1805,1770,3518,944,1.95,116
17,Iran,Middle East,1497,1469,5521,1612,3.69,121
18,Turkey,Middle East,1476,1458,4429,1017,3,156
19,Bangladesh,Asiatic Region,1451,1432,2101,815,1.45,39
20,Malaysia,Asiatic Region,1341,1319,3469,890,2.59,105
21,Netherlands,Western Europe,1168,1108,4056,892,3.47,178
22,Saudi Arabia,Middle East,1127,1101,3916,842,3.47,105
23,Pakistan,Asiatic Region,1070,1054,3612,1233,3.38,72
24,Poland,Eastern Europe,1038,905,2454,891,2.36,110
25,Romania,Eastern Europe,1024,998,1001,299,0.98,64
26,Singapore,Asiatic Region,995,951,5884,972,5.91,190
27,Morocco,Africa,943,931,1163,393,1.23,36
28,Greece,Western Europe,899,846,2063,569,2.29,120
29,Thailand,Asiatic Region,880,848,783,200,0.89,54
30,Hong Kong,Asiatic Region,871,849,4242,594,4.87,193
31,Egypt,Africa/Middle East,857,828,2795,780,3.26,83
32,Portugal,Western Europe,812,765,1763,388,2.17,105
33,Mexico,Latin America,808,698,1736,395,2.15,97
34,Switzerland,Western Europe,796,766,3462,569,4.35,176
35,Sweden,Western Europe,791,759,2651,452,3.35,104
36,Viet Nam,Asiatic Region,784,768,2212,563,2.82,56
37,United Arab Emirates,Middle East,747,725,1779,436,2.38,51
38,South Africa,Africa,744,718,901,290,1.21,62
39,Austria,Western Europe,680,637,1798,510,2.64,102
40,Finland,Western Europe,634,615,2521,415,3.98,130
41,Tunisia,Africa,587,586,821,228,1.4,49
42,Algeria,Africa,586,580,1007,180,1.72,55
43,Belgium,Western Europe,571,546,1592,362,2.79,143
44,Denmark,Western Europe,535,520,1580,376,2.95,82
