Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,2231,2180,187707,53944,84.14,572
2,Japan,Asiatic Region,906,892,21572,4587,23.81,187
3,United Kingdom,Western Europe,712,696,36601,5915,51.41,309
4,China,Asiatic Region,645,640,9752,5208,15.12,324
5,Germany,Western Europe,434,432,22782,3298,52.49,247
6,France,Western Europe,426,419,12672,2829,29.75,219
7,Canada,Northern America,369,359,15233,1880,41.28,245
8,Italy,Western Europe,360,354,8439,1988,23.44,189
9,South Korea,Asiatic Region,358,348,6525,888,18.23,153
10,Spain,Western Europe,319,312,9655,2318,30.27,203
11,Taiwan,Asiatic Region,292,287,10632,2376,36.41,190
12,Australia,Pacific Region,285,282,6242,881,21.9,206
13,Hong Kong,Asiatic Region,184,180,5476,531,29.76,193
14,Netherlands,Western Europe,176,175,10321,1102,58.64,178
15,Singapore,Asiatic Region,150,150,5153,603,34.35,190
16,Belgium,Western Europe,122,121,6526,474,53.49,143
17,Israel,Middle East,121,117,5302,510,43.82,168
18,India,Asiatic Region,107,105,3193,819,29.84,167
19,Brazil,Latin America,105,102,1220,258,11.62,116
20,Poland,Eastern Europe,101,100,4163,925,41.22,110
21,Greece,Western Europe,89,89,5239,360,58.87,120
22,Sweden,Western Europe,85,84,2953,377,34.74,104
23,Switzerland,Western Europe,75,74,4366,447,58.21,176
24,Portugal,Western Europe,74,69,993,126,13.42,105
25,Austria,Western Europe,69,67,1682,196,24.38,102
26,Finland,Western Europe,54,54,2064,281,38.22,130
27,Turkey,Middle East,51,49,1231,165,24.14,156
28,Czech Republic,Eastern Europe,50,49,768,255,15.36,89
29,Mexico,Latin America,37,37,805,324,21.76,97
30,New Zealand,Pacific Region,32,32,700,69,21.88,87
31,Slovakia,Eastern Europe,31,30,622,114,20.06,57
32,Slovenia,Eastern Europe,30,28,1239,93,41.3,82
33,Hungary,Eastern Europe,29,29,1315,54,45.34,69
34,Thailand,Asiatic Region,27,27,445,70,16.48,54
35,Russian Federation,Eastern Europe,25,25,408,53,16.32,62
36,Denmark,Western Europe,24,23,782,62,32.58,82
37,Egypt,Africa/Middle East,21,21,279,37,13.29,83
38,Iran,Middle East,21,21,570,243,27.14,121
39,Saudi Arabia,Middle East,18,18,314,16,17.44,105
40,Romania,Eastern Europe,18,18,123,24,6.83,64
41,South Africa,Africa,17,17,679,49,39.94,62
42,Serbia,Eastern Europe,15,15,166,20,11.07,56
43,Ireland,Western Europe,14,13,475,22,33.93,78
44,Venezuela,Latin America,14,14,795,44,56.79,30
45,Argentina,Latin America,14,14,135,14,9.64,47
46,Algeria,Africa,14,14,97,19,6.93,55
47,Norway,Western Europe,12,12,372,32,31,72
48,Jordan,Middle East,11,11,447,22,40.64,56
49,Malaysia,Asiatic Region,11,11,52,8,4.73,105
50,United Arab Emirates,Middle East,9,9,72,7,8,51
51,Cyprus,Western Europe,8,7,160,22,20,37
52,Lithuania,Eastern Europe,8,8,47,21,5.88,40
53,Bulgaria,Eastern Europe,8,8,859,10,107.38,35
54,Chile,Latin America,8,8,184,33,23,64
55,Tunisia,Africa,7,7,238,72,34,49
56,Morocco,Africa,6,6,103,7,17.17,36
57,Kuwait,Middle East,5,5,239,6,47.8,35
58,Indonesia,Asiatic Region,5,5,27,1,5.4,40
59,Ukraine,Eastern Europe,4,4,14,6,3.5,30
60,Oman,Middle East,4,4,35,4,8.75,27
61,Colombia,Latin America,4,4,21,4,5.25,45
62,Belarus,Eastern Europe,4,4,25,6,6.25,20
63,Viet Nam,Asiatic Region,4,4,45,5,11.25,56
64,Macedonia,Eastern Europe,3,3,12,3,4,19
65,Croatia,Eastern Europe,3,3,4,1,1.33,44
66,Cuba,Latin America,3,3,191,17,63.67,34
67,Lebanon,Middle East,2,2,4,1,2,36
68,Uruguay,Latin America,2,2,11,1,5.5,17
69,Bangladesh,Asiatic Region,2,2,3,0,1.5,39
70,Pakistan,Asiatic Region,2,2,1,1,0.5,72
71,Trinidad and Tobago,Latin America,2,2,2,2,1,11
72,Azerbaijan,Eastern Europe,2,2,39,5,19.5,27
73,Estonia,Eastern Europe,1,1,29,10,29,26
74,Qatar,Middle East,1,1,1,0,1,62
75,Paraguay,Latin America,1,1,0,0,0,10
76,Guadeloupe,Latin America,1,1,3,0,3,3
77,Philippines,Asiatic Region,1,1,16,0,16,25
78,Iceland,Western Europe,1,1,4,0,4,35
79,Moldova,Eastern Europe,1,1,0,0,0,7
80,Barbados,Latin America,1,1,2,2,2,4
81,Latvia,Eastern Europe,1,1,12,1,12,17
82,Sri Lanka,Asiatic Region,1,1,0,0,0,20
83,Palestine,Middle East,1,1,15,0,15,32
