Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,16832,16723,171851,112703,10.21,324
2,United States,Northern America,12215,11789,146238,52977,11.97,572
3,India,Asiatic Region,6921,6831,39869,15971,5.76,167
4,Japan,Asiatic Region,4635,4523,20994,6662,4.53,187
5,United Kingdom,Western Europe,4040,3873,50077,10183,12.4,309
6,Germany,Western Europe,3586,3459,32937,9443,9.18,247
7,France,Western Europe,2659,2561,22796,5490,8.57,219
8,Italy,Western Europe,2417,2285,25609,7815,10.6,189
9,Canada,Northern America,2181,2116,25546,3739,11.71,245
10,Spain,Western Europe,2014,1920,20106,4793,9.98,203
11,Australia,Pacific Region,2010,1925,31596,4870,15.72,206
12,South Korea,Asiatic Region,1963,1939,13861,2378,7.06,153
13,Taiwan,Asiatic Region,1656,1631,9255,1562,5.59,190
14,Iran,Middle East,1513,1510,12221,2853,8.08,121
15,Brazil,Latin America,1509,1478,12860,2954,8.52,116
16,Poland,Eastern Europe,1064,1040,9406,2875,8.84,110
17,Russian Federation,Eastern Europe,995,979,6590,2318,6.62,62
18,Netherlands,Western Europe,987,950,9096,1696,9.22,178
19,Singapore,Asiatic Region,958,931,18558,2111,19.37,190
20,Switzerland,Western Europe,790,762,10909,1487,13.81,176
21,Hong Kong,Asiatic Region,784,771,17079,1565,21.78,193
22,Portugal,Western Europe,767,732,5571,1205,7.26,105
23,Greece,Western Europe,764,740,5231,1151,6.85,120
24,Turkey,Middle East,759,751,8255,1328,10.88,156
25,Sweden,Western Europe,746,722,6325,975,8.48,104
26,Malaysia,Asiatic Region,693,687,8011,1483,11.56,105
27,Mexico,Latin America,649,626,4685,937,7.22,97
28,Austria,Western Europe,626,599,5394,1127,8.62,102
29,Belgium,Western Europe,595,574,6241,1031,10.49,143
30,Romania,Eastern Europe,575,565,3331,652,5.79,64
31,Czech Republic,Eastern Europe,561,541,4990,1232,8.89,89
32,Saudi Arabia,Middle East,556,545,8861,1303,15.94,105
33,Finland,Western Europe,554,539,5669,905,10.23,130
34,Indonesia,Asiatic Region,552,543,2629,1143,4.76,40
35,Egypt,Africa/Middle East,514,499,4157,680,8.09,83
36,Denmark,Western Europe,481,474,5536,822,11.51,82
37,Norway,Western Europe,422,418,2463,581,5.84,72
38,Pakistan,Asiatic Region,406,401,4288,810,10.56,72
39,Israel,Middle East,392,385,6036,856,15.4,168
40,Tunisia,Africa,367,345,2107,672,5.74,49
41,Ireland,Western Europe,364,349,2518,403,6.92,78
42,Thailand,Asiatic Region,363,325,1605,387,4.42,54
43,Ukraine,Eastern Europe,333,332,1581,1049,4.75,30
44,South Africa,Africa,330,316,1937,338,5.87,62
45,Bangladesh,Asiatic Region,313,302,1446,394,4.62,39
