Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,2128,2119,160748,42717,75.54,572
2,Japan,Asiatic Region,891,889,15401,3702,17.29,187
3,United Kingdom,Western Europe,679,674,23854,4231,35.13,309
4,France,Western Europe,519,516,11782,2240,22.7,219
5,Germany,Western Europe,467,465,12996,2048,27.83,247
6,Italy,Western Europe,408,406,8166,1859,20.01,189
7,Spain,Western Europe,359,357,10584,2310,29.48,203
8,Canada,Northern America,305,304,11616,1705,38.09,245
9,Taiwan,Asiatic Region,265,265,12145,1992,45.83,190
10,Australia,Pacific Region,247,246,8796,1027,35.61,206
11,China,Asiatic Region,241,241,6979,3569,28.96,324
12,South Korea,Asiatic Region,216,215,6784,796,31.41,153
13,Netherlands,Western Europe,182,179,15505,1000,85.19,178
14,Brazil,Latin America,149,148,2311,371,15.51,116
15,Hong Kong,Asiatic Region,124,124,3500,389,28.23,193
16,Singapore,Asiatic Region,110,110,4106,228,37.33,190
17,India,Asiatic Region,107,107,5064,993,47.33,167
18,Israel,Middle East,105,105,5729,536,54.56,168
19,Belgium,Western Europe,105,105,3016,197,28.72,143
20,Greece,Western Europe,104,103,2377,374,22.86,120
21,Sweden,Western Europe,99,97,2691,310,27.18,104
22,Switzerland,Western Europe,96,96,3190,225,33.23,176
23,Poland,Eastern Europe,86,86,2691,391,31.29,110
24,Finland,Western Europe,74,74,12520,522,169.19,130
25,Russian Federation,Eastern Europe,67,67,307,84,4.58,62
26,Portugal,Western Europe,56,56,1268,153,22.64,105
27,Turkey,Middle East,56,56,1437,325,25.66,156
28,Austria,Western Europe,54,49,1351,201,25.02,102
29,Czech Republic,Eastern Europe,51,51,1370,132,26.86,89
30,New Zealand,Pacific Region,41,41,1020,73,24.88,87
31,Slovenia,Eastern Europe,35,35,664,172,18.97,82
32,Mexico,Latin America,32,32,597,106,18.66,97
33,Hungary,Eastern Europe,30,30,916,100,30.53,69
34,Argentina,Latin America,30,30,135,32,4.5,47
35,Romania,Eastern Europe,28,28,218,49,7.79,64
36,Egypt,Africa/Middle East,28,28,264,37,9.43,83
37,Denmark,Western Europe,27,27,616,61,22.81,82
38,Iran,Middle East,27,27,378,145,14,121
39,Norway,Western Europe,25,25,643,26,25.72,72
40,Slovakia,Eastern Europe,17,17,120,31,7.06,57
41,Croatia,Eastern Europe,17,17,145,29,8.53,44
42,Ireland,Western Europe,16,16,1306,56,81.63,78
43,Saudi Arabia,Middle East,15,15,113,2,7.53,105
44,Tunisia,Africa,14,14,33,12,2.36,49
45,Lithuania,Eastern Europe,13,13,178,66,13.69,40
46,South Africa,Africa,12,12,262,19,21.83,62
47,Venezuela,Latin America,11,11,59,12,5.36,30
48,Chile,Latin America,11,11,13,3,1.18,64
49,Serbia,Eastern Europe,10,10,73,12,7.3,56
50,Morocco,Africa,10,10,133,38,13.3,36
51,Kuwait,Middle East,8,8,220,7,27.5,35
52,Malaysia,Asiatic Region,7,7,160,17,22.86,105
53,Bulgaria,Eastern Europe,7,7,208,9,29.71,35
54,Thailand,Asiatic Region,6,6,49,2,8.17,54
55,Colombia,Latin America,6,6,174,4,29,45
56,Jordan,Middle East,5,5,40,4,8,56
57,Algeria,Africa,5,5,155,13,31,55
58,Belarus,Eastern Europe,5,5,98,7,19.6,20
59,Lebanon,Middle East,4,4,37,1,9.25,36
60,Latvia,Eastern Europe,4,4,10,4,2.5,17
61,Cyprus,Western Europe,4,4,37,3,9.25,37
62,Liechtenstein,Western Europe,3,3,104,0,34.67,9
63,Ukraine,Eastern Europe,3,3,49,11,16.33,30
64,United Arab Emirates,Middle East,3,3,7,1,2.33,51
65,Oman,Middle East,2,2,4,0,2,27
66,Estonia,Eastern Europe,2,2,6,6,3,26
67,Azerbaijan,Eastern Europe,2,2,35,8,17.5,27
68,Pakistan,Asiatic Region,2,2,12,0,6,72
69,Cuba,Latin America,2,2,56,19,28,34
70,Kenya,Africa,1,1,0,0,0,11
71,Malta,Western Europe,1,1,21,5,21,26
72,Burkina Faso,Africa,1,1,16,0,16,3
73,Indonesia,Asiatic Region,1,1,1,0,1,40
74,Viet Nam,Asiatic Region,1,1,0,0,0,56
75,Libya,Africa,1,1,7,1,7,13
76,Philippines,Asiatic Region,1,1,33,12,33,25
77,Puerto Rico,Latin America,1,1,0,0,0,12
78,Palestine,Middle East,1,1,55,4,55,32
79,Georgia,Eastern Europe,1,1,0,0,0,16
80,Luxembourg,Western Europe,1,1,1,0,1,40
81,Sudan,Africa,1,1,50,0,50,13
82,Cameroon,Africa,1,1,12,2,12,13
83,Macedonia,Eastern Europe,1,1,10,1,10,19
84,Senegal,Africa,1,1,3,0,3,9
85,Mauritius,Africa,1,1,6,0,6,9
