Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,11097,10855,177749,60678,16.02,572
2,China,Asiatic Region,10578,10481,154079,102618,14.57,324
3,United Kingdom,Western Europe,3398,3243,54440,10572,16.02,309
4,Japan,Asiatic Region,3169,3074,18497,5838,5.84,187
5,Germany,Western Europe,3022,2945,30236,8677,10.01,247
6,India,Asiatic Region,2837,2804,28490,10691,10.04,167
7,Italy,Western Europe,2318,2221,24589,7160,10.61,189
8,France,Western Europe,2251,2203,20792,4703,9.24,219
9,Australia,Pacific Region,1912,1839,28422,4736,14.87,206
10,Spain,Western Europe,1908,1835,25996,5933,13.62,203
11,Canada,Northern America,1714,1659,32387,4017,18.9,245
12,South Korea,Asiatic Region,1526,1512,16919,2409,11.09,153
13,Taiwan,Asiatic Region,1513,1479,10435,1563,6.9,190
14,Brazil,Latin America,1192,1173,9543,2328,8.01,116
15,Iran,Middle East,1055,1054,12581,2932,11.93,121
16,Poland,Eastern Europe,1028,1011,10402,3536,10.12,110
17,Malaysia,Asiatic Region,842,837,9370,1588,11.13,105
18,Netherlands,Western Europe,795,772,8923,1617,11.22,178
19,Russian Federation,Eastern Europe,757,749,4019,1658,5.31,62
20,Portugal,Western Europe,745,726,9048,1152,12.14,105
21,Singapore,Asiatic Region,703,678,16948,1888,24.11,190
22,Hong Kong,Asiatic Region,661,652,13051,1142,19.74,193
23,Romania,Eastern Europe,615,610,2927,742,4.76,64
24,Czech Republic,Eastern Europe,606,601,3591,1047,5.93,89
25,Switzerland,Western Europe,595,581,20906,1528,35.14,176
26,Sweden,Western Europe,576,563,4546,974,7.89,104
27,Turkey,Middle East,573,567,8231,1595,14.36,156
28,Greece,Western Europe,567,554,5379,867,9.49,120
29,Mexico,Latin America,565,556,4775,1071,8.45,97
30,Austria,Western Europe,542,514,5475,1265,10.1,102
31,Finland,Western Europe,503,490,6210,1085,12.35,130
32,Belgium,Western Europe,493,474,8373,969,16.98,143
33,Saudi Arabia,Middle East,436,433,10437,1028,23.94,105
34,Denmark,Western Europe,375,363,4058,702,10.82,82
35,Ireland,Western Europe,335,327,3004,419,8.97,78
36,Israel,Middle East,329,325,6246,1044,18.98,168
37,Norway,Western Europe,323,313,2990,502,9.26,72
38,South Africa,Africa,319,315,1842,429,5.77,62
39,Thailand,Asiatic Region,274,272,1679,321,6.13,54
40,Egypt,Africa/Middle East,273,256,3678,922,13.47,83
41,Pakistan,Asiatic Region,264,264,2979,623,11.28,72
42,Algeria,Africa,260,260,1774,316,6.82,55
43,Slovakia,Eastern Europe,252,249,1424,501,5.65,57
44,New Zealand,Pacific Region,227,220,2225,306,9.8,87
45,Indonesia,Asiatic Region,221,219,1544,462,6.99,40
