Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
112,French Polynesia,Pacific Region,1,1,1,0,1,1
113,Kazakhstan,Asiatic Region,1,1,26,26,26,18
114,San Marino,Western Europe,1,1,0,0,0,1
115,Maldives,Asiatic Region,1,1,12,0,12,4
116,Benin,Africa,1,1,3,0,3,5
117,British Indian Ocean Territory,Africa,1,1,0,0,0,0
118,Honduras,Latin America,1,1,1,1,1,6
119,Armenia,Eastern Europe,1,1,16,3,16,8
120,Fiji,Pacific Region,1,1,66,1,66,17
121,Albania,Eastern Europe,1,1,7,2,7,11
122,Grenada,Latin America,1,1,0,0,0,0
123,Côte d’Ivoire,Africa,1,1,2,0,2,3
124,Papua New Guinea,Pacific Region,1,1,0,0,0,8
125,Kyrgyzstan,Asiatic Region,1,1,0,0,0,3
126,French Guiana,Latin America,1,1,0,0,0,2
127,Kenya,Africa,1,1,56,0,56,11
128,Barbados,Latin America,1,1,0,0,0,4
