Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,2538,2481,174294,47303,68.67,572
2,Japan,Asiatic Region,1028,1012,14642,4667,14.24,187
3,United Kingdom,Western Europe,721,692,28460,5297,39.47,309
4,France,Western Europe,504,498,17454,3585,34.63,219
5,Germany,Western Europe,474,469,17271,2804,36.44,247
6,Canada,Northern America,454,443,19982,2615,44.01,245
7,Italy,Western Europe,439,431,12585,2326,28.67,189
8,China,Asiatic Region,400,393,15751,8895,39.38,324
9,Spain,Western Europe,361,352,10298,2166,28.53,203
10,Taiwan,Asiatic Region,353,345,17535,2517,49.67,190
11,South Korea,Asiatic Region,274,263,8502,993,31.03,153
12,Australia,Pacific Region,203,200,6884,816,33.91,206
13,Hong Kong,Asiatic Region,201,194,8466,845,42.12,193
14,Singapore,Asiatic Region,191,189,8427,757,44.12,190
15,Brazil,Latin America,170,170,2947,558,17.34,116
16,Netherlands,Western Europe,167,165,8393,885,50.26,178
17,India,Asiatic Region,138,135,5536,1517,40.12,167
18,Sweden,Western Europe,128,125,2540,322,19.84,104
19,Israel,Middle East,125,123,12236,825,97.89,168
20,Poland,Eastern Europe,119,118,4000,737,33.61,110
21,Belgium,Western Europe,113,111,5008,433,44.32,143
22,Greece,Western Europe,101,100,2847,331,28.19,120
23,Austria,Western Europe,100,95,5614,342,56.14,102
24,Switzerland,Western Europe,95,93,2488,263,26.19,176
25,Russian Federation,Eastern Europe,93,93,798,141,8.58,62
26,Finland,Western Europe,82,80,15269,674,186.21,130
27,Czech Republic,Eastern Europe,76,76,1224,225,16.11,89
28,Portugal,Western Europe,63,62,3183,351,50.52,105
29,Mexico,Latin America,51,50,2089,244,40.96,97
30,Turkey,Middle East,50,49,2020,273,40.4,156
31,New Zealand,Pacific Region,43,42,2909,289,67.65,87
32,Denmark,Western Europe,39,35,912,95,23.38,82
33,Hungary,Eastern Europe,35,35,747,113,21.34,69
34,Bulgaria,Eastern Europe,30,30,254,33,8.47,35
35,Slovenia,Eastern Europe,30,29,560,123,18.67,82
36,Iran,Middle East,29,29,875,228,30.17,121
37,Norway,Western Europe,27,24,646,59,23.93,72
38,Slovakia,Eastern Europe,25,25,330,109,13.2,57
39,Egypt,Africa/Middle East,24,22,342,77,14.25,83
40,Romania,Eastern Europe,23,23,192,66,8.35,64
41,Argentina,Latin America,23,22,535,68,23.26,47
42,Thailand,Asiatic Region,23,23,298,50,12.96,54
43,Ireland,Western Europe,22,21,467,70,21.23,78
44,Tunisia,Africa,21,20,378,79,18,49
45,Saudi Arabia,Middle East,18,17,351,68,19.5,105
46,Malaysia,Asiatic Region,16,16,151,37,9.44,105
47,Algeria,Africa,16,16,377,41,23.56,55
48,Ukraine,Eastern Europe,13,13,124,26,9.54,30
49,Kuwait,Middle East,13,13,814,15,62.62,35
50,South Africa,Africa,12,12,303,27,25.25,62
51,Serbia,Eastern Europe,12,12,159,24,13.25,56
52,Chile,Latin America,12,12,201,38,16.75,64
53,United Arab Emirates,Middle East,9,9,41,2,4.56,51
54,Colombia,Latin America,9,9,62,11,6.89,45
55,Cuba,Latin America,7,7,85,34,12.14,34
56,Venezuela,Latin America,6,6,42,5,7,30
57,Oman,Middle East,6,6,68,4,11.33,27
58,Cyprus,Western Europe,6,6,785,27,130.83,37
59,Macao,Asiatic Region,5,5,67,2,13.4,67
60,Croatia,Eastern Europe,5,5,173,38,34.6,44
61,Morocco,Africa,5,5,96,14,19.2,36
62,Lithuania,Eastern Europe,4,4,222,31,55.5,40
63,Pakistan,Asiatic Region,4,4,13,5,3.25,72
64,Viet Nam,Asiatic Region,4,4,214,34,53.5,56
65,Belarus,Eastern Europe,4,4,96,12,24,20
66,Indonesia,Asiatic Region,3,3,26,9,8.67,40
67,Macedonia,Eastern Europe,3,3,28,5,9.33,19
68,Estonia,Eastern Europe,3,3,31,9,10.33,26
69,Jordan,Middle East,2,2,14,1,7,56
70,Lebanon,Middle East,2,2,96,6,48,36
71,Georgia,Eastern Europe,2,2,4,3,2,16
72,Philippines,Asiatic Region,2,2,9,0,4.5,25
73,Botswana,Africa,1,1,0,0,0,11
74,Syrian Arab Republic,Middle East,1,1,143,0,143,14
75,Swaziland,Africa,1,1,0,0,0,4
76,Qatar,Middle East,1,0,0,0,0,62
77,Mauritius,Africa,1,1,10,0,10,9
78,Bahrain,Middle East,1,1,0,0,0,16
79,Bangladesh,Asiatic Region,1,1,8,0,8,39
80,Sri Lanka,Asiatic Region,1,1,13,9,13,20
81,Azerbaijan,Eastern Europe,1,1,2,0,2,27
82,Uruguay,Latin America,1,1,3,0,3,17
83,Liechtenstein,Western Europe,1,1,4,2,4,9
84,Kazakhstan,Asiatic Region,1,1,7,2,7,18
85,Vanuatu,Pacific Region,1,1,0,0,0,0
86,Iceland,Western Europe,1,1,38,1,38,35
