Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,2304,2294,127393,37025,55.29,572
2,Japan,Asiatic Region,751,751,12678,2999,16.88,187
3,United Kingdom,Western Europe,637,625,24328,4573,38.19,309
4,Germany,Western Europe,400,398,15742,2367,39.36,247
5,France,Western Europe,326,325,8986,2053,27.56,219
6,South Korea,Asiatic Region,306,306,4476,562,14.63,153
7,Italy,Western Europe,301,295,8079,1670,26.84,189
8,Canada,Northern America,294,294,8442,1335,28.71,245
9,Australia,Pacific Region,283,281,6579,676,23.25,206
10,Taiwan,Asiatic Region,257,256,6793,1628,26.43,190
11,China,Asiatic Region,248,247,6220,3032,25.08,324
12,Spain,Western Europe,223,223,6514,1543,29.21,203
13,Hong Kong,Asiatic Region,161,161,5045,596,31.34,193
14,Israel,Middle East,132,131,7945,531,60.19,168
15,Netherlands,Western Europe,130,129,8485,953,65.27,178
16,India,Asiatic Region,124,124,2551,621,20.57,167
17,Singapore,Asiatic Region,117,117,2963,241,25.32,190
18,Brazil,Latin America,104,104,1841,315,17.7,116
19,Greece,Western Europe,104,104,1326,257,12.75,120
20,Poland,Eastern Europe,79,79,1400,374,17.72,110
21,Belgium,Western Europe,77,76,12413,504,161.21,143
22,Finland,Western Europe,71,71,8025,516,113.03,130
23,Sweden,Western Europe,67,67,2071,165,30.91,104
24,Russian Federation,Eastern Europe,67,67,323,60,4.82,62
25,Switzerland,Western Europe,56,56,3851,190,68.77,176
26,Czech Republic,Eastern Europe,50,50,1024,153,20.48,89
27,Austria,Western Europe,46,46,1694,273,36.83,102
28,Mexico,Latin America,44,44,742,221,16.86,97
29,Turkey,Middle East,38,38,758,155,19.95,156
30,Hungary,Eastern Europe,35,35,583,113,16.66,69
31,New Zealand,Pacific Region,33,33,1175,61,35.61,87
32,Slovenia,Eastern Europe,32,31,798,129,24.94,82
33,Portugal,Western Europe,29,29,321,38,11.07,105
34,Denmark,Western Europe,28,27,682,67,24.36,82
35,Slovakia,Eastern Europe,28,28,715,169,25.54,57
36,Norway,Western Europe,23,23,1709,44,74.3,72
37,Romania,Eastern Europe,18,18,91,12,5.06,64
38,Egypt,Africa/Middle East,17,17,360,33,21.18,83
39,South Africa,Africa,16,16,226,28,14.13,62
40,Belarus,Eastern Europe,16,16,57,6,3.56,20
41,Iran,Middle East,14,14,230,106,16.43,121
42,Latvia,Eastern Europe,13,13,11,6,0.85,17
43,Thailand,Asiatic Region,13,13,100,8,7.69,54
44,Argentina,Latin America,12,12,176,24,14.67,47
45,Tunisia,Africa,11,11,114,21,10.36,49
46,Bulgaria,Eastern Europe,11,11,108,23,9.82,35
47,Ireland,Western Europe,11,11,291,26,26.45,78
48,Kuwait,Middle East,11,11,150,6,13.64,35
49,Malaysia,Asiatic Region,10,10,505,63,50.5,105
50,Saudi Arabia,Middle East,9,9,161,5,17.89,105
51,Chile,Latin America,9,9,59,27,6.56,64
52,Morocco,Africa,7,7,207,14,29.57,36
53,Viet Nam,Asiatic Region,7,7,69,43,9.86,56
54,Algeria,Africa,6,6,14,1,2.33,55
55,Jordan,Middle East,6,6,74,20,12.33,56
56,Ukraine,Eastern Europe,5,5,27,18,5.4,30
57,Cyprus,Western Europe,5,5,93,8,18.6,37
58,Croatia,Eastern Europe,5,5,20,7,4,44
59,Mauritius,Africa,4,4,20,5,5,9
60,United Arab Emirates,Middle East,4,4,10,0,2.5,51
61,Lithuania,Eastern Europe,3,3,207,35,69,40
62,Serbia,Eastern Europe,3,3,39,14,13,56
63,Pakistan,Asiatic Region,2,2,16,4,8,72
64,Georgia,Eastern Europe,2,2,7,6,3.5,16
65,Zimbabwe,Africa,2,2,49,0,24.5,6
66,Cuba,Latin America,2,2,35,0,17.5,34
67,Bangladesh,Asiatic Region,2,2,36,0,18,39
68,Macedonia,Eastern Europe,2,2,39,0,19.5,19
69,Azerbaijan,Eastern Europe,2,2,1,0,0.5,27
70,Uruguay,Latin America,2,2,26,1,13,17
71,Venezuela,Latin America,2,2,29,6,14.5,30
72,Philippines,Asiatic Region,2,2,2,1,1,25
73,Colombia,Latin America,1,1,2,0,2,45
74,Lebanon,Middle East,1,1,6,0,6,36
75,Malta,Western Europe,1,1,16,3,16,26
76,Yemen,Middle East,1,1,0,0,0,17
77,Indonesia,Asiatic Region,1,1,5,3,5,40
78,Papua New Guinea,Pacific Region,1,1,9,0,9,8
79,Bosnia and Herzegovina,Eastern Europe,1,1,10,0,10,20
80,Armenia,Eastern Europe,1,1,8,0,8,8
81,Fiji,Pacific Region,1,1,0,0,0,17
82,Oman,Middle East,1,1,0,0,0,27
83,Iceland,Western Europe,1,1,12,0,12,35
84,Kenya,Africa,1,1,1,0,1,11
85,Liechtenstein,Western Europe,1,1,63,0,63,9
