Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,21235,21047,167185,112303,7.87,324
2,United States,Northern America,12518,12039,118041,38246,9.43,572
3,India,Asiatic Region,11538,11258,46626,19344,4.04,167
4,Japan,Asiatic Region,4437,4296,17604,4961,3.97,187
5,United Kingdom,Western Europe,3980,3776,49640,8881,12.47,309
6,Germany,Western Europe,3256,3116,26032,7045,8,247
7,France,Western Europe,2313,2206,16886,3239,7.3,219
8,Italy,Western Europe,2220,2067,20595,5654,9.28,189
9,South Korea,Asiatic Region,2150,2127,14118,2343,6.57,153
10,Australia,Pacific Region,2069,1965,28247,4362,13.65,206
11,Canada,Northern America,1997,1925,18632,2854,9.33,245
12,Spain,Western Europe,1975,1834,18156,3886,9.19,203
13,Iran,Middle East,1911,1880,13476,4015,7.05,121
14,Brazil,Latin America,1898,1863,8927,2438,4.7,116
15,Turkey,Middle East,1875,1861,7869,1680,4.2,156
16,Indonesia,Asiatic Region,1744,1731,4831,2164,2.77,40
17,Taiwan,Asiatic Region,1344,1304,7566,1125,5.63,190
18,Malaysia,Asiatic Region,1258,1227,8861,1957,7.04,105
19,Thailand,Asiatic Region,1158,1069,2644,577,2.28,54
20,Singapore,Asiatic Region,1065,1032,16245,1895,15.25,190
21,Russian Federation,Eastern Europe,947,921,4175,2076,4.41,62
22,Poland,Eastern Europe,939,856,5435,1547,5.79,110
23,Netherlands,Western Europe,923,888,8091,1401,8.77,178
24,Hong Kong,Asiatic Region,870,843,13538,1508,15.56,193
25,Portugal,Western Europe,786,741,4825,1105,6.14,105
26,Saudi Arabia,Middle East,771,749,9483,1287,12.3,105
27,Pakistan,Asiatic Region,755,735,6224,1809,8.24,72
28,Mexico,Latin America,722,637,3919,937,5.43,97
29,Romania,Eastern Europe,701,693,2639,698,3.76,64
30,Switzerland,Western Europe,685,655,10446,1214,15.25,176
31,Greece,Western Europe,660,640,4112,884,6.23,120
32,Sweden,Western Europe,643,622,5345,777,8.31,104
33,Austria,Western Europe,593,539,3845,748,6.48,102
34,Czech Republic,Eastern Europe,563,545,3136,824,5.57,89
35,Belgium,Western Europe,537,519,5688,815,10.59,143
36,Morocco,Africa,509,500,1598,490,3.14,36
37,Finland,Western Europe,483,469,3535,632,7.32,130
38,Viet Nam,Asiatic Region,469,412,3741,904,7.98,56
39,Tunisia,Africa,462,447,2128,449,4.61,49
40,Bangladesh,Asiatic Region,448,445,2660,770,5.94,39
41,Denmark,Western Europe,436,419,3019,591,6.92,82
42,Algeria,Africa,424,418,1974,387,4.66,55
43,Norway,Western Europe,417,402,2496,594,5.99,72
44,Ecuador,Latin America,411,409,1135,379,2.76,26
45,Colombia,Latin America,399,393,1375,303,3.45,45
46,Egypt,Africa/Middle East,397,369,4027,816,10.14,83
47,South Africa,Africa,377,367,2102,423,5.58,62
48,Israel,Middle East,346,320,3149,576,9.1,168
49,New Zealand,Pacific Region,334,321,3328,426,9.96,87
50,United Arab Emirates,Middle East,310,291,1933,300,6.24,51
51,Ireland,Western Europe,286,270,2538,321,8.87,78
52,Ukraine,Eastern Europe,286,283,1053,806,3.68,30
53,Hungary,Eastern Europe,263,259,1377,346,5.24,69
54,Slovakia,Eastern Europe,249,248,1143,457,4.59,57
55,Philippines,Asiatic Region,239,239,861,277,3.6,25
56,Jordan,Middle East,191,185,3801,583,19.9,56
57,Iraq,Middle East,185,184,1596,290,8.63,34
58,Macao,Asiatic Region,179,171,2388,226,13.34,67
59,Serbia,Eastern Europe,166,163,801,225,4.83,56
